L,avg_await_ms,avg_cpu_pct,avg_disk_util_pct,avg_latency_us,avg_read_iops,avg_read_mb_s,avg_write_iops,avg_write_mb_s,beamwidth,bottleneck_evidence,bucket_label,bucket_lower,bucket_midpoint,bucket_name,bucket_query_count,bucket_upper,configured_L,configured_route,dataset,device,elapsed_s,empty_count,fallback_count,format,graph_count,hybrid_enabled,index_prefix,max_await_ms,max_cpu_pct,max_disk_util_pct,max_read_iops,max_read_mb_s,max_rss_kb,max_write_iops,max_write_mb_s,mean_candidate_count,mean_hops,mean_ios,mean_route_overhead_us,mem_L,p99_latency_us,peak_memory_kb,prefilter_count,prefilter_rerank_l,prefilter_rerank_source,process_max_rss_kb,qps,query_count,query_label_file,recall,recall_at,returncode,route,sample_count,selectivity_group,selectivity_lower,selectivity_midpoint,selectivity_upper,selector_type,target_threads,threads
100,,779.006726,0.0,4291.300781,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t5e-03,0.0050002,0.0050002,real_t5e-03_l902,100000,0.0050002,100,auto,yfcc10m,nvme1n1,56.685005,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1842.963888,0.0,0.0,0.0,375052,0.0,0.0,50002.0,0.0,128.0,264.41689,0,8588.0,314584,100000,,default-heuristic,375052,1777.75061,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-03_l902/queries.spmat,,10,0,auto,114,low,0.0050002,0.0050002,0.0050002,intersect,8,8
100,,101.228372,0.0,3544.839355,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1n1,374.667689,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1503.972475,0.0,0.0,0.0,361096,0.0,0.0,97939.0,0.0,128.0,182.63402,0,6189.0,308676,100000,,default-heuristic,361096,267.465942,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,,10,0,auto,748,low,0.0097939,0.0097939,0.0097939,intersect,1,1
100,,201.276959,0.0,5239.433105,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1n1,277.403833,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1524.082328,0.0,0.0,0.0,363012,0.0,0.0,97939.0,0.0,128.0,302.81548,0,11201.0,311704,100000,,default-heuristic,363012,361.092285,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,,10,0,auto,554,low,0.0097939,0.0097939,0.0097939,intersect,2,2
100,,400.436138,0.0,5710.791016,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1n1,151.50231,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1643.623848,0.0,0.0,0.0,368304,0.0,0.0,97939.0,0.0,128.0,359.73941,0,11960.0,313456,100000,,default-heuristic,368304,662.383301,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,,10,0,auto,303,low,0.0097939,0.0097939,0.0097939,intersect,4,4
100,,789.353237,0.0,6320.038574,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-02,0.0097939,0.0097939,real_t1e-02_l0,100000,0.0097939,100,auto,yfcc10m,nvme1n1,84.276591,0,0,pipeann.hybrid.search.v1,0,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1673.676531,0.0,0.0,0.0,380612,0.0,0.0,97939.0,0.0,128.0,445.37448,0,12917.0,315100,100000,,default-heuristic,380612,1194.621582,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-02_l0/queries.spmat,,10,0,auto,169,low,0.0097939,0.0097939,0.0097939,intersect,8,8
100,,201.383758,0.0,3721.076904,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-02,0.0203896,0.0203896,real_t2e-02_l106,100000,0.0203896,100,auto,yfcc10m,nvme1n1,379.112003,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1516.005675,0.0,0.0,0.0,383728,0.0,0.0,203896.0,0.0,119.737694,252.52325,0,5231.0,192752,0,,default-heuristic,383728,264.155426,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-02_l106/queries.spmat,,10,0,auto,757,middle,0.0203896,0.0203896,0.0203896,intersect,1,1
100,,402.107098,0.0,3918.581055,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-02,0.0203896,0.0203896,real_t2e-02_l106,100000,0.0203896,100,auto,yfcc10m,nvme1n1,199.57121,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1644.276601,0.0,0.0,0.0,388752,0.0,0.0,203896.0,0.0,119.603012,239.76777,0,5127.0,191568,0,,default-heuristic,388752,502.129517,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-02_l106/queries.spmat,,10,0,auto,399,middle,0.0203896,0.0203896,0.0203896,intersect,2,2
100,,801.15755,0.0,4383.958496,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-02,0.0203896,0.0203896,real_t2e-02_l106,100000,0.0203896,100,auto,yfcc10m,nvme1n1,111.823199,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1861.821678,0.0,0.0,0.0,397308,0.0,0.0,203896.0,0.0,119.444992,248.13933,0,5750.0,197628,0,,default-heuristic,397308,899.076904,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-02_l106/queries.spmat,,10,0,auto,224,middle,0.0203896,0.0203896,0.0203896,intersect,4,4
100,,1593.977957,0.0,5255.925293,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-02,0.0203896,0.0203896,real_t2e-02_l106,100000,0.0203896,100,auto,yfcc10m,nvme1n1,67.197918,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,2395.905159,0.0,0.0,0.0,412264,0.0,0.0,203896.0,0.0,119.255524,273.37984,0,7035.0,194872,0,,default-heuristic,412264,1503.550537,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-02_l106/queries.spmat,,10,0,auto,135,middle,0.0203896,0.0203896,0.0203896,intersect,8,8
100,,201.536407,0.0,3630.074707,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t5e-02,0.0499079,0.0499079,real_t5e-02_l24,100000,0.0499079,100,auto,yfcc10m,nvme1n1,370.096903,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1534.147256,0.0,0.0,0.0,384480,0.0,0.0,499079.0,0.0,119.732094,179.30857,0,4752.0,191952,0,,default-heuristic,384480,270.739227,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-02_l24/queries.spmat,,10,0,auto,739,middle,0.0499079,0.0499079,0.0499079,intersect,1,1
100,,402.191678,0.0,3859.206299,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t5e-02,0.0499079,0.0499079,real_t5e-02_l24,100000,0.0499079,100,auto,yfcc10m,nvme1n1,196.580398,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1659.819236,0.0,0.0,0.0,385304,0.0,0.0,499079.0,0.0,119.606667,176.07551,0,5012.0,195040,0,,default-heuristic,385304,509.808624,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-02_l24/queries.spmat,,10,0,auto,393,middle,0.0499079,0.0499079,0.0499079,intersect,2,2
100,,800.934408,0.0,4324.821777,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t5e-02,0.0499079,0.0499079,real_t5e-02_l24,100000,0.0499079,100,auto,yfcc10m,nvme1n1,110.326138,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1806.776561,0.0,0.0,0.0,391104,0.0,0.0,499079.0,0.0,119.442482,182.49422,0,5764.0,196884,0,,default-heuristic,391104,911.328857,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-02_l24/queries.spmat,,10,0,auto,221,middle,0.0499079,0.0499079,0.0499079,intersect,4,4
100,,1592.549099,0.0,5232.560547,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t5e-02,0.0499079,0.0499079,real_t5e-02_l24,100000,0.0499079,100,auto,yfcc10m,nvme1n1,66.644099,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,2216.734531,0.0,0.0,0.0,402444,0.0,0.0,499079.0,0.0,119.266289,190.10434,0,6892.0,196692,0,,default-heuristic,402444,1510.83728,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t5e-02_l24/queries.spmat,,10,0,auto,134,middle,0.0499079,0.0499079,0.0499079,intersect,8,8
100,,201.251889,0.0,3644.089355,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-01,0.0991156,0.0991156,real_t1e-01_l17,100000,0.0991156,100,auto,yfcc10m,nvme1n1,371.603965,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1526.131634,0.0,0.0,0.0,384160,0.0,0.0,991156.0,0.0,119.732559,192.14408,0,4775.0,192156,0,,default-heuristic,384160,269.665741,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-01_l17/queries.spmat,,10,0,auto,742,middle,0.0991156,0.0991156,0.0991156,intersect,1,1
100,,402.10623,0.0,3764.609619,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-01,0.0991156,0.0991156,real_t1e-01_l17,100000,0.0991156,100,auto,yfcc10m,nvme1n1,192.073622,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1609.521283,0.0,0.0,0.0,385312,0.0,0.0,991156.0,0.0,119.567841,184.2078,0,4899.0,190688,0,,default-heuristic,385312,522.262573,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-01_l17/queries.spmat,,10,0,auto,384,middle,0.0991156,0.0991156,0.0991156,intersect,2,2
100,,800.975523,0.0,4333.772949,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-01,0.0991156,0.0991156,real_t1e-01_l17,100000,0.0991156,100,auto,yfcc10m,nvme1n1,110.273033,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1813.807836,0.0,0.0,0.0,391456,0.0,0.0,991156.0,0.0,119.447578,185.51497,0,5760.0,192720,0,,default-heuristic,391456,909.722717,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-01_l17/queries.spmat,,10,0,auto,221,middle,0.0991156,0.0991156,0.0991156,intersect,4,4
100,,1593.00513,0.0,5209.96875,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t1e-01,0.0991156,0.0991156,real_t1e-01_l17,100000,0.0991156,100,auto,yfcc10m,nvme1n1,66.699095,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,2275.031691,0.0,0.0,0.0,402604,0.0,0.0,991156.0,0.0,119.255783,200.17132,0,6879.0,194348,0,,default-heuristic,402604,1515.65271,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t1e-01_l17/queries.spmat,,10,0,auto,134,middle,0.0991156,0.0991156,0.0991156,intersect,8,8
100,,201.458275,0.0,3632.285889,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-01,0.1915985,0.1915985,real_t2e-01_l29,100000,0.1915985,100,auto,yfcc10m,nvme1n1,370.101451,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1478.323195,0.0,0.0,0.0,384236,0.0,0.0,1915985.0,0.0,119.736649,178.324,0,4756.0,192080,0,,default-heuristic,384236,270.539734,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-01_l29/queries.spmat,,10,0,auto,739,high,0.1915985,0.1915985,0.1915985,intersect,1,1
100,,400.933258,0.0,3866.508301,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-01,0.1915985,0.1915985,real_t2e-01_l29,100000,0.1915985,100,auto,yfcc10m,nvme1n1,197.39445,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1570.029607,0.0,0.0,0.0,385216,0.0,0.0,1915985.0,0.0,119.607498,181.61824,0,5069.0,194988,0,,default-heuristic,385216,508.773682,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-01_l29/queries.spmat,,10,0,auto,395,high,0.1915985,0.1915985,0.1915985,intersect,2,2
100,,801.225462,0.0,4332.519531,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-01,0.1915985,0.1915985,real_t2e-01_l29,100000,0.1915985,100,auto,yfcc10m,nvme1n1,110.333488,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,1871.22665,0.0,0.0,0.0,391672,0.0,0.0,1915985.0,0.0,119.440163,179.10066,0,5994.0,192784,0,,default-heuristic,391672,909.502991,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-01_l29/queries.spmat,,10,0,auto,221,high,0.1915985,0.1915985,0.1915985,intersect,4,4
100,,1593.12011,0.0,5231.728516,0.0,0.0,0.0,0.0,4,cpu-bound-evidence,t2e-01,0.1915985,0.1915985,real_t2e-01_l29,100000,0.1915985,100,auto,yfcc10m,nvme1n1,66.63716,0,0,pipeann.hybrid.search.v1,100000,True,/mnt/bak3/lzg/PipeANN-github/data/yfcc100M/yfcc10m_pipeann,0.0,2284.927667,0.0,0.0,0.0,403004,0.0,0.0,1915985.0,0.0,119.26355,184.9182,0,7075.0,196772,0,,default-heuristic,403004,1511.212646,100000,/mnt/bak3/lzg/PipeANN-github/experiments/qps_4sets/yfcc10m/workloads/random_single_label/real_selected_labels/real_t2e-01_l29/queries.spmat,,10,0,auto,134,high,0.1915985,0.1915985,0.1915985,intersect,8,8
